"WY","Season","Alt","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","mean.area.km2","mean.depth.m","mean.STG","WRT.yr","mean.delta.min"
1965,"Summer","LCR1",175508163.344088,107599237.119779,3.35182132464884,1459.60379660971,2.29470901596341,12.26406075,21.3524997941457,0.772715437078148
1965,"Summer","NA25f",166525383.710519,127440041.190859,3.32217381093011,1454.85708301443,2.28194048315474,12.1975864881054,7.3458795434243,0.708738604057063
1965,"Summer","PA_FWOLL",168819264.023412,118325459.290612,3.30477840896578,1452.31274433019,2.27383704682806,12.1580044946237,20.9344709355153,0.673453286959506
1965,"Summer","PA25",166680528.437806,145071100.184801,3.38594816726994,1464.81179114586,2.31005436845863,12.3411827076266,6.2021774307681,0.84467693759963
1966,"Summer","LCR1",374409820.541551,86920413.496658,4.13328178841829,1620.6677953986,2.54055748052835,13.8971288709677,58.1822945215287,2.40344337261903
1966,"Summer","NA25f",360587862.869226,202544145.484978,4.20886746143291,1641.36635511371,2.55772761466617,14.0602514466506,2.57546160911384,2.56571558719817
1966,"Summer","PA_FWOLL",376104390.014833,97177895.0876733,4.18309520872405,1626.47874367198,2.56070725508564,13.9928549489247,55.9134573440134,2.49965323317281
1966,"Summer","PA25",370259067.885466,127120393.045287,4.57503377040157,1699.26342416538,2.68415396344431,14.7712985724245,6.02455400583554,3.27747191286228
1967,"Summer","LCR1",190243136.979069,94156226.0281393,3.23278129669416,1441.5676596173,2.24089553615443,11.9948162849462,16.2816731771255,0.516636146222614
1967,"Summer","NA25f",138485777.532178,90321444.9501242,3.13434271538791,1427.27455054652,2.19451209114848,11.7699599569592,16.9385543909858,0.346880220492601
1967,"Summer","PA_FWOLL",141358273.098244,97440122.4949648,3.12016664628969,1425.28529561569,2.18753362946904,11.7371219139785,17.1952372536088,0.328415265372196
1967,"Summer","PA25",136661546.596394,116618692.003477,3.33149521936916,1456.126523041,2.2866612432698,12.2193509636727,6.16042057427338,0.723373895784909
1968,"Summer","LCR1",494799904.034648,74366579.1621625,3.93691167826318,1592.88311112778,2.43958613690392,13.4225544247312,32.325876423524,2.09772368279966
1968,"Summer","NA25f",492828873.131663,133836129.781033,3.81434856649096,1575.9400380075,2.38646370001047,13.1641118068766,9.28504872994372,1.93668660992952
1968,"Summer","PA_FWOLL",498095588.695547,80151465.4251994,3.7993681047342,1571.27848514279,2.38038965143767,13.1210326021505,30.4286479394526,1.93301698062327
1968,"Summer","PA25",499510478.018478,27454180.1266223,3.94380412227566,1585.0848765074,2.44768062165666,13.4108501525477,15.259228056619,2.15689986042034
1969,"Summer","LCR1",248304863.454796,84344181.5713591,4.36767788438252,1698.18661264861,2.57101591106514,14.3952101586022,13.2746812311574,2.89714216871242
1969,"Summer","NA25f",236057017.754668,113987201.960748,3.87614769174968,1564.6913221017,2.47656048703094,13.4079916862208,3.59930840936474,1.90956254817849
1969,"Summer","PA_FWOLL",249026946.888994,102769017.28686,4.20659058085384,1658.32433585489,2.53571820064657,14.080384594086,6.7551517297834,2.58243776380665
1969,"Summer","PA25",227462036.117787,115364630.28028,5.07620201919729,1776.95040551649,2.85652330138171,15.7251988539239,3.92080327836046,4.22625897067713
1970,"Summer","LCR1",139463146.838837,135101010.967157,4.81750959548919,1763.13121943477,2.73214397636147,15.2459833252688,4.56263792715432,3.74617812463347
1970,"Summer","NA25f",138317234.116812,188731935.340631,4.77456834795474,1760.05860710669,2.71251143931827,15.1660225297628,7.38665986455434,3.66720294405686
1970,"Summer","PA_FWOLL",139794737.675065,164667999.227983,5.00609115396046,1774.2214792265,2.82144919247006,15.5957922983871,3.5497977792318,4.09579198292422
1970,"Summer","PA25",139891684.822371,154593117.679214,5.06292430185902,1776.71222151066,2.84950309304654,15.7008271825719,3.60580076068949,4.20096628597786
1971,"Summer","LCR1",128875804.919735,95002813.1373773,2.88121120361435,1391.66116465625,2.06936352280855,11.1820241424731,9.9508796329317,0.0234500572944479
1971,"Summer","NA25f",127249016.347938,81291576.8660668,2.69764286679304,1365.73642050821,1.97418105818563,10.7450795452807,10.4322731048719,0
1971,"Summer","PA_FWOLL",131886810.09111,88010800.245232,2.65240722785176,1359.37262358854,1.95007349047049,10.6359919569892,9.39674582968714,0
1971,"Summer","PA25",118804038.586018,91656833.2801065,2.79501762300941,1379.45506424927,2.02516028121678,10.9778741724968,12.3591016959356,0.00338656844629674
1972,"Summer","LCR1",164676268.609589,55107478.0823677,3.21366481367219,1438.40461229351,2.23333751783123,11.9531847069892,5.44774050859607,0.458392739188972
1972,"Summer","NA25f",156787669.438632,45037789.2811882,3.15525271316642,1430.09108229483,2.20542696143985,11.8194432978705,8.33972968580955,0.345060873128466
1972,"Summer","PA_FWOLL",158481873.9008,58642638.6610304,2.97767257252078,1405.18382536024,2.11824665300056,11.4086827043011,4.42575406396639,0.0839968923354537
1972,"Summer","PA25",155685190.981361,66908772.1407029,2.99793990680466,1407.99761033662,2.12856883396466,11.45633218043,3.89773971874943,0.0940758506251553
1973,"Summer","LCR1",275512039.521768,55694541.5715242,2.61042268186497,1353.32785400449,1.92679169534276,10.5322014543011,32.8224081062083,0.0022255364408504
1973,"Summer","NA25f",270188177.941886,51862500.7845027,2.568112436843,1347.43362011814,1.90387410233448,10.4295252033289,32.7551211036504,0
1973,"Summer","PA_FWOLL",279931982.994946,45324724.8640673,2.47486733716095,1334.4611213577,1.85223453256074,10.2007676717742,31.3650256027753,0
1973,"Summer","PA25",277628272.650329,47253822.2548995,2.46207732608815,1332.67234248016,1.84517559361639,10.1694190529648,31.559546761344,0
1974,"Summer","LCR1",521633448.576749,50658942.5805758,2.83124422398882,1390.61924236373,1.99722234360211,10.9778143639785,20.1130630616288,0.649062626175194
1974,"Summer","NA25f",504689474.943176,45476530.2651531,2.81618406496252,1386.79215800397,1.99365448596015,10.9466809307461,20.6734713566523,0.618977570842002
1974,"Summer","PA_FWOLL",522389052.680282,45196520.0580197,2.73996536620731,1370.96547114007,1.95712422719406,10.7557419043011,20.1478207972887,0.585574369107294
1974,"Summer","PA25",517009570.37169,45845684.3181802,2.73055984248347,1368.48442756463,1.95514408838384,10.7364997301544,9.74733757039786,0.564578565443984
1975,"Summer","LCR1",125079864.588687,50393468.0762726,3.04374670177905,1414.39516722417,2.15153817640215,11.5633241424731,13.5196934439428,0.126768676900958
1975,"Summer","NA25f",114714010.707023,39756916.0884517,2.96816478275411,1403.80437577906,2.11398403906333,11.387468701477,18.7879171504558,0.0467386152207569
1975,"Summer","PA_FWOLL",125544540.037079,52767836.7378315,2.88467441927309,1392.1856497859,2.07153466531345,11.1912469408602,16.4030882837275,0.00126391637115853
1975,"Summer","PA25",114387019.533885,61974856.4536343,3.04376512396178,1414.37941892529,2.15182242931313,11.563948246247,8.10090158437719,0.0924937122326106
1976,"Summer","LCR1",285731262.288467,16504757.8652734,2.91310194227299,1395.98731747272,2.08310455174764,11.2508917258065,17.1115483651149,0.131576498878684
1976,"Summer","NA25f",278635701.174335,14692188.0544914,2.89629963759374,1393.61907816994,2.07466445559348,11.2115457072706,20.4443707216669,0.107676074333254
1976,"Summer","PA_FWOLL",281384134.677971,17942975.2276321,2.832550018716,1384.68766609674,2.04196332390027,11.0608745591398,16.012262504281,0.0533995521098374
1976,"Summer","PA25",274533051.689035,27521208.6278163,2.83643509033377,1385.22154107676,2.04466991549929,11.0716592599926,14.1403490206419,0.0447614669844276
1977,"Summer","LCR1",43927400.394437,63944360.419417,2.61928509201543,1354.68854616428,1.93271866041055,10.5567163198925,5.51406604518661,0
1977,"Summer","NA25f",43486536.1421211,59851394.8614864,2.58213620597214,1349.44116717,1.9127268731216,10.4666185602462,5.55937849293572,0
1977,"Summer","PA_FWOLL",41459265.2360531,56567109.2831339,2.50158061272296,1338.00029947593,1.8689337466306,10.2700427177419,5.51106452596599,0
1977,"Summer","PA25",41896927.9188342,54509485.293313,2.45213050096297,1331.04872015327,1.84155403835297,10.148489944669,5.48267435335887,0
1978,"Summer","LCR1",294478119.981225,29867677.8761541,3.64791082254651,1518.27867802527,2.39948637216465,12.9113108870968,17.6324762356571,1.4148166262624
1978,"Summer","NA25f",285514673.963136,20041045.8842999,3.54474141004702,1497.91640349764,2.36323923125703,12.6871637869451,78.5581436048629,1.19050924569343
1978,"Summer","PA_FWOLL",293346011.546645,25635658.6443794,3.50974273706234,1491.9461371555,2.34899207261825,12.6095105268817,75.7268639622633,1.11309542274171
1978,"Summer","PA25",292745346.603285,49181128.7905321,3.42422885290373,1475.28843212976,2.31804540263274,12.4219965816101,7.17942515415295,0.92536075698093
1979,"Summer","LCR1",212691203.390477,61995728.374664,3.63763141218273,1507.95098905594,2.41168842438187,12.8995597580645,8.33192398770329,1.39827970621079
1979,"Summer","NA25f",154853976.565596,131756733.441022,3.64658364905969,1517.60110963877,2.39979082621842,12.9105619720567,8.17208525131417,1.40813168696807
1979,"Summer","PA_FWOLL",164109345.605889,81320638.9134213,3.60130746987487,1502.99411212867,2.39462000755864,12.8177247258065,4.90902199585987,1.31542392080411
1979,"Summer","PA25",162599996.869452,106932302.908652,3.90900729214983,1578.07120040544,2.47537192487502,13.4715902311828,4.02396757147283,1.96914472799801
1980,"Summer","LCR1",101658254.602686,125187770.947879,3.88617440453072,1567.19721863338,2.47907263142114,13.4293781317204,7.32901533031345,1.92993545066347
1980,"Summer","NA25f",77770332.4552618,214850748.710741,3.79447445178918,1548.51601712622,2.44815226684388,13.2285739079249,2.66278693666355,1.72857330322291
1980,"Summer","PA_FWOLL",83339249.8614103,149313247.365364,3.7102561038778,1525.33693690785,2.43138232738654,13.0545991639785,4.68945973600324,1.55482702901578
1980,"Summer","PA25",80170457.0718327,139388946.831877,4.42984633310884,1710.63209947737,2.58857195407129,14.5144190698925,5.58728673892857,3.01447394109806
1981,"Summer","LCR1",66378612.0486568,73206384.2178923,2.13504331613211,1270.32917430242,1.67824265329475,9.34822152876344,5.46338176841615,0
1981,"Summer","NA25f",60069875.6751602,70282072.0040405,1.89841636699627,1217.29215536338,1.55650050031322,8.72288792317733,4.70525508934739,0
1981,"Summer","PA_FWOLL",58196621.3692269,69549951.2454156,1.91830207924948,1221.70762932161,1.56717560502463,8.77649020672043,4.96577484706897,0
1981,"Summer","PA25",60109520.3232631,75710407.719745,2.23388068626589,1295.07213538517,1.72271845230233,9.60095467849462,5.57004910271662,0
1982,"Summer","LCR1",536450099.766156,70258279.148947,3.334864612738,1487.18298148619,2.2078507556315,12.1381233387097,25.2082546237195,1.23960871351439
1982,"Summer","NA25f",543904832.28787,34768774.7636625,3.13969338354103,1443.76184803964,2.13256380976307,11.6851105296632,14.0760911175549,1.05206183502617
1982,"Summer","PA_FWOLL",552684570.9087,58251698.3920709,3.16708196709974,1450.40670386639,2.14247332456201,11.7490014376344,24.8470906024919,1.07857423450813
1982,"Summer","PA25",530839494.015809,47971655.2390844,3.34713205862767,1488.46201938671,2.21501567476893,12.1667766263441,7.93281806127761,1.24234209334665
1983,"Summer","LCR1",210053120.297903,226735709.877058,4.53832653399301,1733.51950717828,2.61759002255441,14.7226298655914,2.26090905455242,3.22324440130793
1983,"Summer","NA25f",208759662.976312,187111701.98313,4.37691728037653,1703.1388102446,2.56941186783815,14.4144018450716,10.7456646821016,2.91592611079822
1983,"Summer","PA_FWOLL",206574374.590456,231787216.476485,4.83472582560299,1764.28120487043,2.74011100210849,15.2779500672043,2.39829952139705,3.77847779242184
1983,"Summer","PA25",206204745.526898,193537020.690187,4.9359093504164,1770.68911502121,2.78744729438719,15.465917766129,2.77668452368943,3.9665303646389
1984,"Summer","LCR1",308106839.577447,139084174.707174,4.72303395482076,1750.61085068226,2.69669156580153,15.0677599784946,4.70382353949316,3.57078148698897
1984,"Summer","NA25f",293190951.546178,177559858.691075,4.75272791226561,1756.39161656697,2.70533672375418,15.1244900708957,2.24847782085256,3.62692409584962
1984,"Summer","PA_FWOLL",292072009.98528,148186525.977126,4.91493641464889,1766.76568392986,2.78106708867122,15.4257018655914,4.68631556866075,3.92892037869375
1984,"Summer","PA25",292117328.975239,198727744.002658,5.28485049595977,1783.74516722553,2.96266682578026,16.1096505510753,2.7485107932006,4.61108070936825
1985,"Summer","LCR1",119487871.950179,82347676.6268485,3.32190122916288,1454.272938717,2.28348787152641,12.1989651612903,20.5722327552676,0.701694761228328
1985,"Summer","NA25f",74125506.0570869,88137277.4305221,3.07911095669066,1419.48244835512,2.16796984234481,11.6433836967217,22.9484629323747,0.217359421471902
1985,"Summer","PA_FWOLL",77147947.9085948,82921650.9402246,3.23550598561874,1441.95958590227,2.24269538090352,12.0022507768817,17.7315065220396,0.504194983245183
1985,"Summer","PA25",73689697.5541188,116075837.513827,3.48303114890179,1481.82986631029,2.34898519073223,12.5571309005376,5.2240883046375,1.05876867683255
1986,"Summer","LCR1",185779760.915113,49859704.1098227,3.65529635693218,1521.26564446974,2.39884532586845,12.9259970645161,54.1736371567363,1.43163004947417
1986,"Summer","NA25f",184404891.609451,53895099.3698913,3.36214683160276,1464.7343232246,2.29111066714686,12.280499708066,11.7557826657955,0.813074379342823
1986,"Summer","PA_FWOLL",183454343.10828,55712938.7263635,3.5431371097926,1498.0805764642,2.36105277752537,12.6821221317204,51.9546854396869,1.18857631510367
1986,"Summer","PA25",180834904.765717,69520644.4512656,3.53968351943823,1496.158910951,2.3622993028594,12.6762330188172,8.78737373599272,1.18179509988848
1987,"Summer","LCR1",129827181.871006,102365503.123493,3.5056388909449,1483.62490246974,2.36218463964826,12.6096029919355,6.93955879946746,1.11044746953546
1987,"Summer","NA25f",106726961.701976,102997353.979539,3.40062447240649,1466.73816279894,2.31749601200048,12.3752222163016,5.54904013619719,0.875039432451337
1987,"Summer","PA_FWOLL",107550193.96313,115339650.868143,3.37821812070413,1463.4461310527,2.3072962389434,12.3247449274194,6.15161950427126,0.824824489388875
1987,"Summer","PA25",107437583.794131,138877926.157953,3.49119945909136,1482.81465250369,2.35295526114721,12.5754343736559,3.83237414518335,1.07528214857226
1988,"Summer","LCR1",181950133.927234,84622554.2588746,3.63759190257808,1509.23962421774,2.40927118573989,12.8981366102151,78.2386538057099,1.39989210720623
1988,"Summer","NA25f",160982541.899682,70962238.0987774,4.32345362801397,1691.8107114982,2.55514711881918,14.3115586684448,24.7073806401833,2.81241717256772
1988,"Summer","PA_FWOLL",174010250.64708,112696508.520414,3.61523761303403,1503.98740882648,2.40302738117095,12.8502370725806,22.0390769158284,1.35180646100217
1988,"Summer","PA25",178547767.212674,116082582.820292,3.92316949110899,1577.24426123905,2.48690641617829,13.5076036854839,6.870864100234,2.00899131383653
1989,"Summer","LCR1",99925834.8253896,114558501.233703,2.52670984644607,1341.6580624085,1.88126829767961,10.328618611828,5.02312130131404,0
1989,"Summer","NA25f",82177535.7881057,125119638.908443,2.96070139342645,1402.97135207102,2.10796657615146,11.3654383080058,5.45601358030376,0.175513709622041
1989,"Summer","PA_FWOLL",94846925.4963618,102840989.442479,2.42813336713902,1327.90289119209,1.82680349497572,10.0869535844086,5.06205011123438,0
1989,"Summer","PA25",93399938.9097547,130119779.912647,2.70871140476331,1367.07112412274,1.97882482972786,10.7681450188172,5.21813562943786,0.0426114499313748
1990,"Summer","LCR1",190247557.538786,36370579.8425718,2.41200056599501,1325.1695081001,1.81716823848861,10.0443539516129,22.1904341269824,0
1990,"Summer","NA25f",176349467.535383,43915843.1063584,2.57308661769228,1348.16517740347,1.90618225503664,10.4408566962419,18.9599029230058,0.0056440970588626
1990,"Summer","PA_FWOLL",189880296.51471,36389062.3513058,2.32838699391388,1311.73536668532,1.77192701570412,9.83627988010753,21.4328927178928,0
